Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date,
"2101","Forsythia spp.","Forsythia 03","","","Mostly sun","0","0","0","","","","","","","","","",""
"2102","Acer saccharum","Sugar Maple 03","","","Open-grown tree","","0","0","","","","","","","","","",""
"2103","Fraxinus americana","White ash","","","Forest canopy tree","1","0","0","","","","","","","","","",""
"2104","Quercus rubra","Red oak","","","Open-grown tree","","0","0","","--","","","","","","","",""
"2105","Rhamnus cathartica","Buckthorn","","","Forest understory tree","1","0","0","","","","","","","","","",""
"2106","Prunus serotina","Wild black cherry","","","Open-grown tree","1","0","0","","","","","","","","","",""
"2107","Erythronium americanum","Trout lily 01","","","Mostly shade","","0","0","","--","","","","","","","",""
"2111","Betula papyrifera","White birch","","","Open-grown tree","","","","","--","","","","","","","",""
"2112","Hamamelis virginiana","Witchhazel","","","Mostly shade","0","0","0","","--","","","","","","","",""
"2113","Fragaria virginiana","Wild strawberry 01","","","Half shade","","0","0","","--","","","","","","","",""
"2594","Acer rubrum","red maple-1","","","Full sun","0","0","0","","","","","","","","","",""
"2595","Amelanchier canadensis","Canadian serviceberry-1","","","Full sun","0","1","1","","","","","","","","","",""
"2596","Trillium grandiflorum","white trillium-1","","","Mostly shade","0","0","0","","","","","","","","","",""
"2597","Cornus florida","flowering dogwood-1","","","Full sun","0","1","0","","","","","","","","","",""
"2598","Forsythia spp.","forsythia-1","","","Full sun","0","0","1","","","","","","","","","",""
"2700","Cercis canadensis","eastern redbud-1","","","Mostly sun","0","0","0","","--","white flowers","","","","","","",""
"2701","Cercis canadensis","eastern redbud-2","","","Half shade","0","0","0","","","red flowers","","","","","","",""
"2866","Populus tremuloides","largest tree in front","","","Mostly sun","0","1","0","","","same tree as observed in 2008","","","","","","",""
"3195","Abies balsamea","balsam fir-1","","","Forest understory tree","1","0","0","","","","","","","","","",""
"3202","Caltha palustris","yellow marsh marigold-2","","","Mostly shade","1","0","0","","","","","","","","","",""
"3203","Caltha palustris","yellow marsh marigold-3","","","Mostly shade","1","0","0","","","","","","","","","",""
"3545","Abies balsamea","Balsam fir","","","Forest understory tree","","0","0","","","","","","","","","",""
"3795","Maianthemum canadense","Canada mayflower-3","","","Half shade","1","0","0","","","","","","","","","",""
"3804","Trillium grandiflorum","white trillium-1","","","Mostly shade","1","0","0","","","","","","","","","",""
"3805","Trillium grandiflorum","white trillium-2","","","Mostly shade","1","0","0","","","","","","","","","",""
"3806","Trillium grandiflorum","white trillium-3","","","Mostly shade","1","0","0","","","","","","","","","",""
"3807","Trillium grandiflorum","white trillium-4","","","Mostly shade","1","0","0","","","","","","","","","",""
"3808","Abies balsamea","balsam fir-2","","","Forest understory tree","1","0","0","","","","","","","","","",""
"3933","Hesperostipa comata","needle and thread-1","","","Full sun","1","0","0","","","Observation of multiple individuals per year.  Mean values reported","","","","","","",""
"3939","Sphaeralcea coccinea","scarlet globemallow-1","","","Full sun","1","0","0","","","Observation of multiple individuals per year.  Mean values reported","","","","","","",""
"3940","Oenothera caespitosa","tufted evening primrose-1","","","Full sun","1","0","0","","","Observation of very few individuals.  Mean values reported","","","","","","",""
"4090","Pseudoroegneria spicata","bluebunch wheatgrass-HB7","","","Full sun","1","0","0","","","","","","","","","",""
"4091","Bromus tectorum","cheatgrass-06-1","","","Full sun","1","0","0","","","","","","","","","",""
"4092","Achillea millefolium","common yarrow-HB7","","","Full sun","1","0","0","","","","","","","","","",""
"4095","Taraxacum officinale","common dandelion-1","","","Full sun","1","0","0","","","","","","","","","",""
"4096","Pseudoroegneria spicata","bluebunch wheatgrass-HB8","","","Full sun","1","0","0","","","","","","","","","",""
"4097","Pseudoroegneria spicata","bluebunch wheatgrass-HB9","","","Full sun","1","0","0","","","","","","","","","",""
"4098","Achillea millefolium","common yarrow-HB8","","","Full sun","1","0","0","","","","","","","","","",""
"4099","Achillea millefolium","common yarrow-HB9","","","Full sun","1","0","0","","","","","","","","","",""
"4106","Pseudoroegneria spicata","bluebunch wheatgrass-HB1","","","Full sun","1","0","1","","","","","","","","","",""
"4107","Pseudoroegneria spicata","bluebunch wheatgrass-HB2","","","Full sun","1","0","0","","","","","","","","","",""
"4108","Pseudoroegneria spicata","bluebunch wheatgrass-HB3","","","Full sun","1","0","0","","","","","","","","","",""
"4109","Pseudoroegneria spicata","bluebunch wheatgrass-HB4","","","Full sun","1","0","0","","","","","","","","","",""
"4110","Pseudoroegneria spicata","bluebunch wheatgrass-HB5","","","Full sun","1","0","0","","","","","","","","","",""
"4111","Pseudoroegneria spicata","bluebunch wheatgrass-HB6","","","Full sun","1","0","0","","","","","","","","","",""
"4112","Achillea millefolium","common yarrow-HB1","","","Full sun","1","0","0","","","","","","","","","",""
"4113","Achillea millefolium","common yarrow-HB2","","","Full sun","1","0","0","","","","","","","","","",""
"4114","Achillea millefolium","common yarrow-HB3","","","Full sun","1","0","0","","","","","","","","","",""
"4115","Achillea millefolium","common yarrow-HB4","","","Full sun","1","0","0","","","","","","","","","",""
"4116","Achillea millefolium","common yarrow-HB5","","","Full sun","1","0","0","","","","","","","","","",""
"4117","Achillea millefolium","common yarrow-HB6","","","Full sun","1","0","0","","","","","","","","","",""
"4141","Pseudoroegneria spicata","bluebunch wheatgrass-09-1","","","Full sun","1","0","0","","--","","","","","","","",""
"4199","Pseudoroegneria spicata","bluebunch wheatgrass-09-3","","","Full sun","1","0","0","","","","","","","","","",""
"4202","Pseudoroegneria spicata","bluebunch wheatgrass-09-2","","","Full sun","1","0","0","","","","","","","","","",""
"4205","Achillea millefolium","common yarrow-09-1","","","Full sun","1","0","0","","","","","","","","","",""
"4206","Achillea millefolium","common yarrow-09-2","","","Full sun","1","0","0","","","","","","","","","",""
"4207","Achillea millefolium","common yarrow-09-3","","","Full sun","1","0","0","","","","","","","","","",""
"4213","Pseudoroegneria spicata","bluebunch wheatgrass-06-1","","","Full sun","1","0","0","","","","","","","","","",""
"4252","Fragaria virginiana","Virginia strawberry-1","","","","","","","","","","","","","","","",""
"4471","Larix laricina","tamarack-1","","","Mostly sun","1","0","0","","","","","","","","","",""
"4472","Larix laricina","tamarack-2","","","Mostly sun","1","0","0","","","","","","","","","",""
"4544","Syringa vulgaris","common lilac-1","","","Full sun","0","0","1","","","","","","","","","",""
"4875","Eschscholzia californica","California poppy by Diana's","","","Mostly sun","","","","","--","right next to sidewalk, marked with a rock","","","","","","",""
"4876","Parkinsonia florida","blue paloverde NE cnr 547","","","Full sun","","","","","--","multistem, large (6m) and robust, ne cnr of yard,","","","","","","",""
"4877","Parkinsonia florida","blue pv on R of dog park en","","","Full sun","0","0","0","","--","medium sized (3m), single stem","","","","","","",""
"4879","Larrea tridentata","creosote bush","","","Full sun","","","","","","just on edge of yard, elongate, 3 m tall","","","","","","",""
"4881","Syringa vulgaris","Front Windbreak","","","Full sun","0","1","0","","","","","","","","","",""
"4944","Podophyllum peltatum","Mayapple 01","","","Mostly shade","0","0","0","","--","","","2010-04-13","","Unknown","bud did not come up this year","",""
"5072","Syringa vulgaris","cloned lilac-1","","","Full sun","0","0","0","","","","","","","","","",""
"5073","Syringa vulgaris","cloned lilac-2","","","Full sun","0","0","0","","","","","","","","","",""
"5108","Betula papyrifera","paper birch-3","","","Mostly sun","1","0","0","","","","","","","","","",""
"5502","Eschscholzia californica","California poppy-1","","","Half shade","1","0","0","","--","","","","","","","",""
"6351","Asclepias incarnata","swamp milkweed-1","","","Half shade","0","0","0","","--","","","","","","","",""
"6352","Asclepias tuberosa","butterfly milkweed-1","","","Full sun","0","0","0","","--","","","","","","","",""
"6353","Asclepias syriaca","common milkweed-1","","","Mostly sun","1","0","0","","--","","","","","","","",""
"6354","Asclepias sullivanti","prairie milkweed-1","","","Full sun","0","0","0","","--","","","","","","","",""
"6355","Helianthus annuus","common sunflower-1","","","Full sun","0","0","0","","2010-05-06","","","2010-10-17","","","It's an annual","",""
"6356","Impatiens capensis","jewelweed-1","","","Half shade","1","0","0","","--","","","2010-07-30","","","It got cut down, and it's an annual","",""
"6357","Caltha palustris","marsh marigold-stream","","","Half shade","0","1","0","","--","Not artificially watered - it's growing in our backyard (artificial) stream.","","","","","","",""
"6358","Cephalanthus occidentalis","buttonbush driveway","","","Half shade","0","1","0","","2008--","","","","","","","",""
"6359","Cercis canadensis","redbud-1","","","Half shade","0","0","0","","--","","","","","","","",""
"6360","Amelanchier alnifolia","Saskatoon","","","Half shade","0","0","0","","--","","","","","","","",""
"6361","Cornus canadensis","bunchberry-1","","","Mostly sun","0","1","0","","2009--","","","2011-04-24","","Unknown","I didn't have the right conditions for it.","",""
"6392","Mertensia virginica","bluebells-1","","","Half shade","0","0","0","","2009--","","","","","","","",""
"6393","Aquilegia canadensis","red columbine-chickadee hous","","","Mostly sun","0","0","0","","--","","","","","","","",""
"6394","Arisaema triphyllum","pulpit-1","","","Mostly shade","0","0","0","","--","","","","","","","",""
"6395","Trillium grandiflorum","trillium-1","","","Mostly shade","0","0","0","","--","","","","","","","",""
"6396","Podophyllum peltatum","mayapple-1","","","Mostly shade","0","0","0","","--","","","","","","","",""
"6397","Oenothera speciosa","pinkladies-1","","","Mostly sun","0","0","0","","--","","","","","","","",""
"6398","Tradescantia ohiensis","spiderwort-1","","","Half shade","0","0","0","","--","","","","","","","",""
"6399","Andropogon gerardii","big bluestem-1","","","Mostly sun","0","0","0","","--","","","","","","","",""
"6400","Panicum virgatum","switchgrass-1","","","Mostly sun","0","0","0","","--","","","","","","","",""
"6401","Amelanchier canadensis","Canadian serviceberry-1","","","Half shade","0","0","0","","--","","","","","","","",""
"6402","Cornus sericea","redosier driveway","","","Half shade","0","0","0","","--","","","","","","","",""
"6403","Arctostaphylos uva-ursi","kinnikinnick-1","","","Mostly sun","0","0","0","","--","","","","","","","",""
"6404","Juniperus virginiana","redcedar-1","","","Half shade","0","0","0","","--","","","","","","","",""
"8513","Achillea millefolium","common yarrow-10-1","","","Full sun","1","0","0","","--","275, L130","","","","","","",""
"8514","Achillea millefolium","common yarrow-10-2","","","Full sun","1","0","0","","--","","","","","","","",""
"8515","Achillea millefolium","common yarrow-10-3","","","Full sun","1","0","0","","--","2230, L200","","","","","","",""
"8516","Achillea millefolium","common yarrow-10-4","","","Full sun","1","0","0","","--","3060, R135","","","","","","",""
"8517","Achillea millefolium","common yarrow-10-5","","","Full sun","1","0","0","","--","4065, L150","","","","","","",""
"8518","Achillea millefolium","common yarrow-10-6","","","Full sun","1","0","0","","--","","","","","","","",""
"8519","Pseudoroegneria spicata","bluebunch wheatgrass-10-1","","","Full sun","1","0","0","","--","805, L80","","","","","","",""
